"Qty";"Value";"Device";"Package";"Parts";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"GERDER";"HEIGHT";"INTERFACE";"IPC_LAND_PATTERN_NAME";"IR";"LEAD_FREE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUNT";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NOMINAL_SUPPLY_CURRENT";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"PARTNUMBER";"PARTREV";"PINS";"POPULARITY";"PREFIX";"PRICE";"PURCHASE-URL";"RATED-CURRENT";"REFDES";"ROHS";"SPICEPREFIX";"STANDARD";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VALUE";"VERIFICATION_VERSION";"WORKING-VOLTAGE";
"4";"75R";"R-EU_R0402";"R0402";"R32, R34, R35, R36";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"1";"75R";"R-EU_R0603";"R0603";"R41";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"1";"7INCHHDMILCD(C)";"7INCHHDMILCD(C)";"7INCHHDMILCD(C)";"U$3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"909 R";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"2";"BNC7T-J-P-XX-ST-EM1D";"BNC7T-J-P-XX-ST-EM1D";"SAMTEC_BNC7T-J-P-XX-ST-EM1D";"J2, J5";"BNC7T EDGE MOUNT DIE CAST STRAIGHT JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Samtec";"";"";"10.92mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";"";"";
"1";"LMH0324";"LMH0324";"QFN24-4X4";"U$14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"MEC1-160-02-L-D-RA1-SL";"MEC1-160-02-L-D-RA1-SL";"MEC1-160-02-L-D-RA1-SL";"U$2, U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MM232R";"MM232R";"FTDI_MM232R";"U6";"USB to Serial UART Mini Development Module for the FT232R Check prices";"";"";"";"";"";"Warning";"";"";"";" FT232R USB 2.0 to UART (RS232/RS422/RS485) Bridge Interface Evaluation Board ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FTDI, Future";"";"";"";"";"";"";"";"";"";"MM232R";"";"";"";"";"None";"";"";"";"";"";"";"None";"https://pricing.snapeda.com/search/part/MM232R/?ref=eda";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H6";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MS12ASW30_U";"MS12ASW30_U";"MS12ASW30U";"S1";"MINIATURE SLIDE Switch.";"";"";"";"";"";"";"";"";"";"MINIATURE SLIDE Switch.";"";"";"";"";"";"";"";"";"";"";"";"";"";"6.6mm";"";"";"";"";"";"NKK Switches";"MS12ASW30/U";"";"";"";"";"";"";"";"";"";"";"";"633-MS12ASW30/U";"https://www.mouser.co.uk/ProductDetail/NKK-Switches/MS12ASW30-U?qs=EqPPfyUzDwaNPN%252By9KNUdw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
